Date of Launch,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
2023-09-01,Tianmu-1 01,Tianmu-1 01,NR (9/23),China,Xiyong Microelectrics Park,Commercial,Meteorological,,LEO,SUN-SYNCHRONOUS,0.0,494.0,511.0,0.00124,97.2,95.1,50.0, 50 ,,2023-09-01,2.0,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Ceres,2023-003B,55134.0,https://www.newspace.im/constellations/xyong-microelectronics-park
2023-04-15,DEWASAT-2,DEWASAT-2,United Arab Emirates,United Arab Emirates,Dubai Electricity and Water Authority (DEWA),Government,Earth Observation,Optical Imaging,LEO,SUN-SYNCHRONOUS,0.0,496.0,508.0,0.000873,97.4,95.1,10.0, 10 ,,2023-04-15,,NanoAvionics,Lithuania,Vandenberg AFB,Falcon 9,2023-054C,56180.0,UAE's first earth observation satellite.
2023-04-15,Umbra-06,Umbra-06,USA,USA,UMBRA,Commercial,Earth Observation,Radar Imaging,LEO,SUN-SYNCHRONOUS,0.0,526.0,530.0,0.00029,97.4,95.0,65.0, 60 ,,2023-04-15,,UMBRA,USA,Vandenberg AFB,Falcon 9,2023-054W,56198.0,
2023-04-15,GHOSt-2 (Global Hyperspectral Observation Satellite),GHOSt-2,USA,USA,Orbital Sidekick,Commercial,Earth Observation,Hyperspectral Imaging,LEO,SUN-SYNCHRONOUS,0.0,492.0,507.0,0.00109,97.4,94.7,85.0, 85 ,,2023-04-15,,AstroDigital,USA,Vandenberg AFB,Falcon 9,2023-054V,56197.0,
2023-04-15,GHOSt-1 (Global Hyperspectral Observation Satellite),GHOSt-1,USA,USA,Orbital Sidekick,Commercial,Earth Observation,Hyperspectral Imaging,LEO,SUN-SYNCHRONOUS,0.0,493.0,507.0,0.00102,97.4,94.7,85.0, 85 ,,2023-04-15,,AstroDigital,USA,Vandenberg AFB,Falcon 9,2023-054T,56195.0,
2023-04-15,GHGSat-C8 (Oceane),GHGSat-C8,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,488.0,506.0,0.00131,97.4,95.2,15.0, 15 ,,2023-04-15,,GHGSat,Canada,Vandenberg AFB,Falcon 9,2023-054J,56186.0,
2023-04-15,GHGSat-C7 (Gaspard),GHGSat-C7,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,,,,,,15.0, 15 ,,2023-04-15,,GHGSat,Canada,Vandenberg AFB,Falcon 9,2023-054AH,56209.0,
2023-04-15,Hawk-7C,Hawk-7C,USA,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,SUN-SYNCHRONOUS,0.0,492.0,507.0,0.00109,97.4,94.9,31.0, 30 ,,2023-04-15,,Unitas SFL/HawkEye 360,USA,Vandenberg AFB,Falcon 9,2023-054Y,46200.0,
2023-04-15,GHGSat-C6 (Mey-Lin),GHGSat-C6,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,SUN-SYNCHRONOUS,0.0,488.0,506.0,0.00131,97.5,95.0,15.0, 15 ,,2023-04-15,,GHGSat,Canada,Vandenberg AFB,Falcon 9,2023-054AC,56204.0,
2023-04-15,Hawk-7B,Hawk-7B,USA,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,LEO,SUN-SYNCHRONOUS,0.0,494.0,507.0,0.000946,97.4,94.9,31.0, 30 ,,2023-04-15,,Unitas SFL/HawkEye 360,USA,Vandenberg AFB,Falcon 9,2023-054R,56193.0,
